University of Texas at San Antonio,29.5827351,-98.6189053
Orange Coast College,33.6700272,-117.9094073
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
UT Austin,30.2849185,-97.7340567
The University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
Rice University,29.7173941,-95.40183119999999
The University of Texas at San Antonio,29.5827351,-98.6189053
The University of Texas at Dallas,32.9857619,-96.7500993
Texas  A&M University,30.6090918,-96.3337124
Trinity University,29.4618396,-98.48331209999999
University of Texas at San Antonio,29.5827351,-98.6189053
Cinco Ranch High School,29.7455154,-95.779619
University of Texas at San Antonio ,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at Dallas,32.9857619,-96.7500993
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
Lamar University ,30.03990529999999,-94.0755748
Fontbonne University,38.641545,-90.315891
University of Texas at San Antonio,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
Trinity University,29.4618396,-98.48331209999999
UTSA,29.5827351,-98.6189053
Barcelona East School of Engineering,41.4136932,2.2222058
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
Trinity University,29.4618396,-98.48331209999999
University of Texas at San Antonio,29.5827351,-98.6189053
The University of Texas at San Antonio,29.5827351,-98.6189053
Rice University,29.7173941,-95.40183119999999
Indiana University,39.1754487,-86.512627
UTSA,29.5827351,-98.6189053
University of Texas at Dallas,32.9857619,-96.7500993
University of Texas at San Antonio,29.5827351,-98.6189053
Cinco Ranch High School,29.7455154,-95.779619
San Antonio College,29.4457849,-98.4959969
UTSA,29.5827351,-98.6189053
Texas State University,29.888411,-97.938351
Texas A&M University,30.6090918,-96.3337124
UTSA,29.5827351,-98.6189053
Carnegie Mellon University,40.4427314,-79.9429552
UTSA,29.5827351,-98.6189053
UTSA,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
Emory University,33.7971368,-84.32224
University of Texas at San Antonio,29.5827351,-98.6189053
University of Texas at San Antonio,29.5827351,-98.6189053
University of Central Florida,28.6024274,-81.2000599
Texas Tech University,33.5842591,-101.8782822
Cinco Ranch High School,29.7455154,-95.779619
University of Texas at San Antonio,29.5827351,-98.6189053
Cornell University,42.4534492,-76.4735027
UT Dallas,32.9857619,-96.7500993
Hallmark University,29.5383269,-98.568709
UTSA,29.5827351,-98.6189053
